name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time
LISWET3,SCS,optimal,0.20138854099999998,225,24.98844118023942,25.00122,10002,20002,50004,0.023993897,0.177394644
QSCTAP3,SCS,optimal,0.09191377,450,1438.753967638658,1438.7547,2480,3960,13262,0.008145274000000001,0.083768496
LASER,SCS,optimal,5.124853129,79200,2409599.580308075,2409601.4,1002,2002,9462,0.002762396,5.122090733
QGROW15,SCS,time_limit,1000.004387604,17838875,-inf,-101693640.0,645,945,7227,0.003294825,1000.001092779
QSCFXM1,SCS,optimal,0.567874714,13975,11056353.326937787,16882692.0,457,787,4456,0.002489411,0.565385303
STADAT1,SCS,time_limit,1000.008899197,5404925,-28468603.973373823,-28526864.0,2001,6000,13998,0.006589249,1000.0023099480001
QSCTAP1,SCS,optimal,0.05382154100000001,1600,1415.8607765364775,1415.8611,480,780,2442,0.0016708080000000002,0.052150733000000005
QADLITTL,SCS,optimal,0.011467070000000001,1675,437012.44181102334,480318.86,97,153,637,0.000447717,0.011019353
QSCRS8,SCS,optimal,4.091869971,59250,905.211648589376,904.56001,1169,1659,4560,0.003300065,4.088569906
HS268,SCS,optimal,0.000489088,475,0.2641152691176103,5.7310705e-07,5,10,55,7.1711e-05,0.000417377
LOTSCHD,SCS,optimal,0.000292035,175,2398.220711990534,2398.4159,12,19,72,9.177100000000001e-05,0.000200264
GENHS28,SCS,optimal,0.000129092,25,0.9271736946794831,0.92717369,10,18,62,7.8601e-05,5.0491e-05
VALUES,SCS,optimal,0.003104151,125,-1.3973317936019634,-1.3966211,202,203,7846,0.000924515,0.002179636
UBH1,SCS,optimal,23.578312105000002,21750,1.1257790862205892,1.1160008,18009,30009,72012,0.039594645,23.53871746
QSCORPIO,SCS,optimal,0.036851599,1350,1880.458100958022,1880.5096,358,746,1842,0.001390603,0.035460996
QSCSD6,SCS,optimal,0.083999879,1100,50.774711109741716,50.808214,1350,1497,8378,0.003983796,0.080016083
LISWET5,SCS,optimal,0.199276167,225,25.019969783870692,25.034253,10002,20002,50004,0.023403058,0.175873109
QSTAIR,SCS,optimal,0.423833532,8000,7985389.605320092,7985452.8,467,823,6293,0.003054691,0.420778841
QSHIP04S,SCS,optimal,0.563814477,7700,2424882.401817323,2424993.7,1458,1860,5908,0.004165229,0.5596492479999999
LISWET2,SCS,optimal,0.211502969,225,24.983435152469383,24.998076,10002,20002,50004,0.024522096,0.18698087300000002
HS118,SCS,optimal,0.0006097100000000001,325,664.8227860105524,664.82045,15,32,69,0.00010864200000000001,0.000501068
MOSARQP2,SCS,optimal,0.019679495999999998,175,-1597.483562249765,-1597.4821,900,1500,4820,0.0032380840000000004,0.016441412
GOULDQP3,SCS,solver_error,0.0039019550000000004,50,1.9875550321485207,2.062784,699,1048,3838,0.0016575070000000001,0.0022444480000000004
DUALC5,SCS,optimal,0.0012055500000000001,50,427.1827234750403,427.23233,8,286,2296,0.000667151,0.000538399
