name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
CVXQP2_M,OSQP_high,optimal,0.07939803000000001,550,820155.4310130115,820155.43,1000,1250,8717,0,0.006528267,0.072869763,0.0,1
DUALC1,OSQP_high,optimal,0.006111761,1125,6155.24755357329,6155.2508,9,224,2025,0,0.000221334,0.005890427,0.0,4
QSCTAP2,OSQP_high,time_limit,1000.000260926,12776770,1735.5028300403394,1735.0265,1880,2970,10007,0,0.003495947,999.996764979,0.0,12989
GOULDQP2,OSQP_high,optimal,0.16846482899999998,7975,0.00018427450334228268,0.00018427534,699,1048,2791,0,0.000818093,0.167646736,0.0,9
CVXQP1_S,OSQP_high,optimal,0.003771992,675,11590.718117498487,11590.718,100,150,920,0,0.000302965,0.003469027,0.0,2
QSCFXM3,OSQP_high,time_limit,1000.000244134,12756024,30816354.649899334,30816355.0,1371,2361,11501,0,0.004164839,999.996079295,0.0,75
STADAT3,OSQP_high,time_limit,1000.000594792,5141826,-35.951583361801696,-35.779453,4001,12000,27998,0,0.006236563,999.994358229,0.0,1185
CONT-201,OSQP_high,time_limit,1000.00490768,59671,0.22329426053165224,0.19248337,40397,80595,249996,0,0.944694392,999.060213288,0.0,16
AUG3DQP,OSQP_high,optimal,0.027188555,125,675.237671277227,675.23767,3873,4873,13092,0,0.006326063,0.020862492,0.0,1
EXDATA,OSQP_high,optimal,8.659253185,1575,-141.84343218688946,-141.84343,3000,6001,2260500,0,0.946593333,7.712659852,0.0,2
QPCSTAIR,OSQP_high,optimal,0.14292256099999998,4175,6204387.462642874,6204387.5,467,823,4790,0,0.001635177,0.141287384,0.0,4
BOYD2,OSQP_high,time_limit,1000.007055874,182074,24.251260512136813,21.256767,93263,279794,517049,0,0.19472977,999.812326104,0.0,3
QBEACONF,OSQP_high,optimal,0.125257792,7325,164712.06024605563,164712.06,262,435,3673,0,0.001128649,0.124129143,0.0,15
AUG2DCQP,OSQP_high,optimal,0.823460526,925,6498134.728002122,6498134.8,20200,30200,80400,0,0.030127103,0.793333423,0.0,4
PRIMAL4,OSQP_high,optimal,0.026172009,175,-0.7460908418022913,-0.74609083,1489,1564,19008,0,0.013298278,0.012873731,0.0,1
HS35MOD,OSQP_high,optimal,4.343e-05,50,0.24999999930601646,0.25,3,4,13,0,1.951e-05,2.392e-05,0.0,0
HS76,OSQP_high,optimal,5.1631e-05,75,-4.681818181143179,-4.6818182,4,7,22,0,2.081e-05,3.0821e-05,0.0,0
LISWET3,OSQP_high,time_limit,1000.001126741,2477581,25.001188334709695,25.00122,10002,20002,50004,0,0.012681947,999.988444794,0.0,3
QSCTAP3,OSQP_high,time_limit,1000.0003549769999,9626407,1439.2283580253247,1438.7547,2480,3960,13262,0,0.004646186,999.995708791,0.0,16140
LASER,OSQP_high,optimal,0.005885906,125,2409601.3567192135,2409601.4,1002,2002,9462,0,0.001508275,0.004377631,0.0,1
QGROW15,OSQP_high,time_limit,1000.000078328,26070577,-101804442.2597143,-101693640.0,645,945,7227,0,0.001915992,999.998162336,0.0,3405
QSCFXM1,OSQP_high,time_limit,1000.000098918,41851773,16882689.515856806,16882692.0,457,787,4456,0,0.001520945,999.998577973,0.0,1006
STADAT1,OSQP_high,time_limit,1000.000300915,10354262,-28641325.714687828,-28526864.0,2001,6000,13998,0,0.003166212,999.997134703,0.0,4505
QSCTAP1,OSQP_high,time_limit,1000.000032522,57326050,1417.5514874030694,1415.8611,480,780,2442,0,0.000917385,999.999115137,0.0,36522
