name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
UBH1,MOSEK,optimal,0.06954188272356987,5,1.1160008055057253,1.1160008,18009,30009,72012
QSCORPIO,MOSEK,optimal,0.004231523722410202,10,1880.5095026944336,1880.5096,358,746,1842
QSCSD6,MOSEK,optimal,0.016321327537298203,12,50.808213601517096,50.808214,1350,1497,8378
LISWET5,MOSEK,solver_error,0.4957543574273586,26,25.069964765985787,25.034253,10002,20002,50004
QSTAIR,MOSEK,optimal,0.02175884321331978,24,7985365.394916886,7985452.8,467,823,6293
QSHIP04S,MOSEK,optimal,0.00999189168214798,13,2424923.9229221665,2424993.7,1458,1860,5908
LISWET2,MOSEK,solver_error,0.2700474336743355,18,24.999156982032673,24.998076,10002,20002,50004
HS118,MOSEK,optimal,0.0016302131116390228,10,664.8204410898717,664.82045,15,32,69
MOSARQP2,MOSEK,optimal,0.035242676734924316,11,-1597.482470793018,-1597.4821,900,1500,4820
GOULDQP3,MOSEK,optimal,0.0236859992146492,11,2.121072852249199,2.062784,699,1048,3838
DUALC5,MOSEK,optimal,0.0018046610057353973,9,427.232328436284,427.23233,8,286,2296
ZECEVIC2,MOSEK,optimal,0.001081705093383789,5,-4.124999999960803,-4.125,2,4,7
QSHIP08L,MOSEK,optimal,0.1604030653834343,9,2376016.461186192,2376040.6,4283,5061,86075
QFORPLAN,MOSEK,solver_error,0.015586134046316147,,,7456631500.0,421,582,6112
CONT-101,MOSEK,optimal,0.3492997959256172,10,0.19552732002186812,0.19552733,10197,20295,62496
AUG2DC,MOSEK,optimal,0.23647592961788177,7,1818368.0652273074,1818368.1,20200,30200,80400
LISWET6,MOSEK,solver_error,0.26487796008586884,18,24.997827066104037,24.995748,10002,20002,50004
QPILOTNO,MOSEK,solver_error,0.19934989511966705,51,4720528.051568221,4728586.9,2172,3147,16105
STADAT2,MOSEK,optimal,0.08032263070344925,22,-32.626393088363585,-32.626665,2001,6000,13998
BOYD1,MOSEK,optimal,1.0040115788578987,14,-61738546.32477763,-61735220.0,93261,93279,745507
PRIMALC5,MOSEK,optimal,0.003724925220012665,11,-427.232326780362,-427.23233,287,295,2869
QGROW22,MOSEK,optimal,0.03993050009012222,22,-149628606.15369746,-149628950.0,946,1386,10837
PRIMAL3,MOSEK,optimal,0.018428698182106018,10,-0.13575582608606376,-0.13575584,745,856,23036
CVXQP1_L,MOSEK,solver_error,,,,108704800.0,10000,15000,94966
QPCBOEI1,MOSEK,optimal,0.01892188936471939,20,11503886.845929485,11503914.0,384,735,4253
QBORE3D,MOSEK,optimal,0.0030714496970176697,12,3100.2008025565506,3100.2008,315,548,1872
QCAPRI,MOSEK,optimal,0.016585201025009155,25,66782160.182118826,66793293.0,353,624,3852
CONT-300,MOSEK,optimal,6.803017485886812,15,0.19151777510596735,0.19151232,90597,180895,562496
QSC205,MOSEK,optimal,0.00431331992149353,21,-0.0058138909021342765,-0.0058139518,203,408,785
CONT-050,MOSEK,optimal,0.09659427776932716,7,-4.563851188058919,-4.5638509,2597,4998,17199
S268,MOSEK,optimal,0.0014213360846042633,11,0.0003312817570986226,5.7310705e-07,5,10,55
HS52,MOSEK,optimal,0.0008631609380245209,0,5.326647564469914,5.3266476,5,8,21
