name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
LISWET2,PIQP,optimal,0.024087289,13,24.99748077446816,24.998076,10002,20002,50004,0.005674364,0.018412925,0.0
HS118,PIQP,optimal,0.000101482,9,664.8385347328352,664.82045,15,32,69,3.8501e-05,6.2981e-05,0.0
MOSARQP2,PIQP,optimal,0.005220727,5,-1597.4405974345275,-1597.4821,900,1500,4820,0.00118598,0.004034747,0.0
GOULDQP3,PIQP,optimal,0.001076107,2,2.2368256364570698,2.062784,699,1048,3838,0.000683391,0.00039271600000000004,0.0
DUALC5,PIQP,optimal,0.000660311,8,427.23268377509686,427.23233,8,286,2296,0.00017489300000000002,0.00048541800000000005,0.0
ZECEVIC2,PIQP,optimal,3.8041e-05,6,-4.124984359619364,-4.125,2,4,7,2.069e-05,1.7351e-05,0.0
QSHIP08L,PIQP,optimal,0.180127457,12,2376138.176081145,2376040.6,4283,5061,86075,0.008947988,0.171179469,0.0
QFORPLAN,PIQP,optimal,0.00547712,14,7456667072.515754,7456631500.0,421,582,6112,0.001552275,0.003924845000000001,0.0
CONT-101,PIQP,optimal,0.533640039,10,0.1955299429722277,0.19552733,10197,20295,62496,0.015078169,0.51856187,0.0
AUG2DC,PIQP,optimal,0.040848125,2,1818325.217258702,1818368.1,20200,30200,80400,0.009862273000000001,0.030985852,0.0
LISWET6,PIQP,optimal,0.024396362,13,24.99524931743963,24.995748,10002,20002,50004,0.0058450360000000005,0.018551326,0.0
QPILOTNO,PIQP,optimal,0.111426041,25,4728690.81235531,4728586.9,2172,3147,16105,0.005229076,0.106196965,0.0
STADAT2,PIQP,optimal,0.008132794,10,-32.6189031122902,-32.626665,2001,6000,13998,0.0028023460000000003,0.005330448000000001,0.0
BOYD1,PIQP,optimal,0.64620873,30,-61735183.38092688,-61735220.0,93261,93279,745507,0.07481863700000001,0.571390093,0.0
PRIMALC5,PIQP,optimal,0.0006515900000000001,6,-427.2290484881144,-427.23233,287,295,2869,0.00023628400000000002,0.00041530600000000005,0.0
QGROW22,PIQP,optimal,0.019078226,25,-149628953.46788135,-149628950.0,946,1386,10837,0.00176921,0.017309016,0.0
PRIMAL3,PIQP,optimal,0.015315144000000001,3,-0.13549657280385485,-0.13575584,745,856,23036,0.010564105,0.004751039,0.0
CVXQP1_L,PIQP,optimal,30.376988952,9,108705173.20166403,108704800.0,10000,15000,94966,0.03505796,30.341930992,0.0
QPCBOEI1,PIQP,optimal,0.007269301000000001,15,11503917.272779852,11503914.0,384,735,4253,0.0011701600000000002,0.006099141000000001,0.0
QBORE3D,PIQP,optimal,0.002218877,13,3102.55130428498,3100.2008,315,548,1872,0.00060278,0.0016160970000000001,0.0
QCAPRI,PIQP,optimal,0.005476771,21,66794908.544179656,66793293.0,353,624,3852,0.0008287440000000001,0.004648027,0.0
CONT-300,PIQP,optimal,29.466908662000005,12,0.19151554136476223,0.19151232,90597,180895,562496,0.143674525,29.323234137000004,0.0
QSC205,PIQP,optimal,0.000812693,13,-0.00570874022399702,-0.0058139518,203,408,785,0.00027749400000000004,0.000535199,0.0
CONT-050,PIQP,optimal,0.059623806,9,-4.563806274892691,-4.5638509,2597,4998,17199,0.003939126,0.05568468,0.0
S268,PIQP,optimal,4.0641000000000006e-05,3,0.024726721268962137,5.7310705e-07,5,10,55,2.2701000000000002e-05,1.794e-05,0.0
HS52,PIQP,optimal,3.4101000000000004e-05,1,5.326643389904982,5.3266476,5,8,21,2.1421e-05,1.268e-05,0.0
