name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
STCQP1,OSQP,optimal,0.061298763000000006,75,155143.55470415487,155143.56,4097,6149,66544,0,0.025355009,0.035943754,0.0,1
QSCSD1,OSQP,optimal,0.021682248,925,8.66995056023023,8.6666667,760,837,4584,0,0.001413823,0.020268425,0.0,1
LISWET10,OSQP,optimal,0.042586224,75,24.98642004369549,49.485785,10002,20002,50004,0,0.011914547,0.030671677,0.0,1
HUES-MOD,OSQP,optimal,0.242163672,1050,34949101.51292736,34824690.0,10000,10002,40000,0,0.007736548,0.234427124,0.0,2
CVXQP2_M,OSQP,optimal,0.03935572,225,820155.1974579446,820155.43,1000,1250,8717,0,0.006554608,0.032801112,0.0,1
DUALC1,OSQP,optimal,0.001671538,275,6148.652920388545,6155.2508,9,224,2025,0,0.000224244,0.001447294,0.0,1
QSCTAP2,OSQP,optimal,0.246757918,3150,1735.1546412184118,1735.0265,1880,2970,10007,0,0.003415476,0.243342442,0.0,0
GOULDQP2,OSQP,optimal,0.0012919820000000001,25,0.00023442507156687387,0.00018427534,699,1048,2791,0,0.000757753,0.000534229,0.0,0
CVXQP1_S,OSQP,optimal,0.003271154,575,11590.54531813759,11590.718,100,150,920,0,0.000305555,0.002965599,0.0,2
QSCFXM3,OSQP,optimal,1.031727302,13100,27947215.91260571,30816355.0,1371,2361,11501,0,0.00418782,1.027539482,0.0,3
STADAT3,OSQP,time_limit,1000.000419476,5152750,-35.95027964678445,-35.779453,4001,12000,27998,0,0.006514098,999.993905378,0.0,1191
CONT-201,OSQP,optimal,839.801855549,57775,0.22880434251355375,0.19248337,40397,80595,249996,0,0.910404406,838.891451143,0.0,16
AUG3DQP,OSQP,optimal,0.019218258000000002,75,675.2347541303652,675.23767,3873,4873,13092,0,0.006093071,0.013125187,0.0,1
EXDATA,OSQP,optimal,3.816293301,800,-141.82135789013756,-141.84343,3000,6001,2260500,0,0.840782945,2.975510356,0.0,1
QPCSTAIR,OSQP,optimal,0.075403296,2175,6202976.591998498,6204387.5,467,823,4790,0,0.001626667,0.073776629,0.0,4
BOYD2,OSQP,time_limit,1000.00994446,219084,23.220276619210686,21.256767,93263,279794,517049,0,0.192865257,999.817079203,0.0,3
QBEACONF,OSQP,optimal,0.007823888000000001,350,164740.66262443474,164712.06,262,435,3673,0,0.001130908,0.00669298,0.0,5
AUG2DCQP,OSQP,optimal,0.715477815,800,6498255.864507211,6498134.8,20200,30200,80400,0,0.02964735,0.685830465,0.0,4
PRIMAL4,OSQP,optimal,0.016849028999999998,50,-0.7460926903275931,-0.74609083,1489,1564,19008,0,0.013254209,0.00359482,0.0,0
HS35MOD,OSQP,optimal,4.2890000000000004e-05,50,0.24999999930601646,0.25,3,4,13,0,2.05e-05,2.239e-05,0.0,0
HS76,OSQP,optimal,4.148e-05,25,-4.681576047288712,-4.6818182,4,7,22,0,2.162e-05,1.986e-05,0.0,0
LISWET3,OSQP,optimal,0.051561983,100,24.987821950460216,25.00122,10002,20002,50004,0,0.012029449,0.039532534,0.0,1
QSCTAP3,OSQP,optimal,0.135393337,1275,1438.6957435162735,1438.7547,2480,3960,13262,0,0.004610836,0.130782501,0.0,0
LASER,OSQP,optimal,0.003341045,50,2408486.27311467,2409601.4,1002,2002,9462,0,0.001466644,0.001874401,0.0,1
QGROW15,OSQP,optimal,2.187184527,57350,-101724986.19431752,-101693640.0,645,945,7227,0,0.001886571,2.185297956,0.0,8
QSCFXM1,OSQP,optimal,0.17065276899999998,7125,14652700.621051302,16882692.0,457,787,4456,0,0.001494694,0.169158075,0.0,3
STADAT1,OSQP,optimal,67.958594632,709925,-28703122.173072882,-28526864.0,2001,6000,13998,0,0.003059941,67.955534691,0.0,516
QSCTAP1,OSQP,optimal,0.061042198,3500,1409.0651723019805,1415.8611,480,780,2442,0,0.000897384,0.060144814,0.0,0
QADLITTL,OSQP,optimal,0.005865797,1600,481004.2302906975,480318.86,97,153,637,0,0.000264975,0.005600822,0.0,3
QSCRS8,OSQP,optimal,0.080894087,2125,902.4507748000179,904.56001,1169,1659,4560,0,0.001922712,0.078971375,0.0,2
HS268,OSQP,optimal,6.302099999999999e-05,50,0.42859060894261347,5.7310705e-07,5,10,55,0,3.0391e-05,3.263e-05,0.0,1
LOTSCHD,OSQP,optimal,0.00011102200000000001,100,2397.9281379337062,2398.4159,12,19,72,0,4.1481e-05,6.9541e-05,0.0,1
GENHS28,OSQP,optimal,6.6442e-05,50,0.9271736960999127,0.92717369,10,18,62,0,3.1241e-05,3.5201e-05,0.0,0
VALUES,OSQP,optimal,0.001932462,100,-1.396036563135261,-1.3966211,202,203,7846,0,0.000685981,0.001246481,0.0,1
UBH1,OSQP,optimal,0.049192193,50,3.8124998504234964,1.1160008,18009,30009,72012,0,0.019786727,0.029405466,0.0,1
QSCORPIO,OSQP,optimal,0.017729933,1225,1879.2792721084006,1880.5096,358,746,1842,0,0.000757643,0.01697229,0.0,1
QSCSD6,OSQP,optimal,0.042653176,1025,50.850484461427165,50.808214,1350,1497,8378,0,0.002278318,0.040374858,0.0,0
LISWET5,OSQP,optimal,0.042588732000000004,75,25.0158838414427,25.034253,10002,20002,50004,0,0.012596367,0.029992365,0.0,1
QSTAIR,OSQP,optimal,2.283309065,63175,7984919.428065641,7985452.8,467,823,6293,0,0.001954242,2.281354823,0.0,6
QSHIP04S,OSQP,optimal,0.023649481,550,2425110.949369159,2424993.7,1458,1860,5908,0,0.002328789,0.021320692,0.0,1
LISWET2,OSQP,optimal,0.051927787999999996,100,24.984528560009267,24.998076,10002,20002,50004,0,0.01211921,0.039808578,0.0,1
HS118,OSQP,optimal,0.000170923,175,664.8455507924601,664.82045,15,32,69,0,4.7001e-05,0.000123922,0.0,1
MOSARQP2,OSQP,optimal,0.008074913,100,-1597.484421358199,-1597.4821,900,1500,4820,0,0.002045274,0.006029639,0.0,0
GOULDQP3,OSQP,optimal,0.001451854,25,2.062149542322004,2.062784,699,1048,3838,0,0.000910685,0.000541169,0.0,0
DUALC5,OSQP,optimal,0.0005877,50,427.3277885560678,427.23233,8,286,2296,0,0.000236944,0.000350756,0.0,1
ZECEVIC2,OSQP,optimal,4.0211e-05,50,-4.123931023181326,-4.125,2,4,7,0,1.8321e-05,2.189e-05,0.0,0
QSHIP08L,OSQP,optimal,0.128061396,250,2375885.201565062,2376040.6,4283,5061,86075,0,0.023730552,0.104330844,0.0,1
QFORPLAN,OSQP,optimal,0.007914761,225,6633401007.344982,7456631500.0,421,582,6112,0,0.00240914,0.005505621,0.0,1
CONT-101,OSQP,optimal,28.149360879,14425,0.20340854793371266,0.19552733,10197,20295,62496,0,0.080561492,28.068799387,0.0,7
AUG2DC,OSQP,optimal,0.053829359,25,1816300.8189289742,1818368.1,20200,30200,80400,0,0.030327241,0.023502118,0.0,0
LISWET6,OSQP,optimal,0.044111879,75,24.97978505336505,24.995748,10002,20002,50004,0,0.012265383,0.031846496,0.0,1
QPILOTNO,OSQP,optimal,0.424020218,2100,4719724.478058858,4728586.9,2172,3147,16105,0,0.014887886,0.409132332,0.0,0
STADAT2,OSQP,optimal,419.280523591,4344675,-32.679402350740034,-32.626665,2001,6000,13998,0,0.003082881,419.27744071,0.0,541
BOYD1,OSQP,optimal,16.45988258,3325,997054881.9150146,-61735220.0,93261,93279,745507,0,0.173674311,16.286208269,0.0,3
PRIMALC5,OSQP,optimal,16.44974969,1403925,-388.3016734716632,-427.23233,287,295,2869,0,0.000393046,16.449356644,0.0,1213
QGROW22,OSQP,optimal,0.4447041,7700,-149693040.97149044,-149628950.0,946,1386,10837,0,0.002817417,0.441886683,0.0,5
PRIMAL3,OSQP,optimal,0.016488101,25,-0.13575608163057093,-0.13575584,745,856,23036,0,0.014679782,0.001808319,0.0,0
CVXQP1_L,OSQP,optimal,39.914699172,3325,108699384.9419422,108704800.0,10000,15000,94966,0,3.335009506,36.579689666,0.0,2
QPCBOEI1,OSQP,optimal,0.063479938,2325,11482156.049683236,11503914.0,384,735,4253,0,0.001659357,0.061820581,0.0,1
QBORE3D,OSQP,optimal,0.235095255,17775,2169641.6359813507,3100.2008,315,548,1872,0,0.000856554,0.234238701,0.0,33
QCAPRI,OSQP,optimal,0.8445435280000001,43475,63716497.62581765,66793293.0,353,624,3852,0,0.00119111,0.843352418,0.0,3
CONT-300,OSQP,time_limit,1000.0110644770001,24936,0.4849387657131692,0.19151232,90597,180895,562496,0,3.198554732,996.812509745,0.0,11
QSC205,OSQP,optimal,0.001234701,100,-0.005825498359241143,-0.0058139518,203,408,785,0,0.000401857,0.000832844,0.0,1
CONT-050,OSQP,optimal,0.371465809,1050,-4.56384241588877,-4.5638509,2597,4998,17199,0,0.010043086,0.361422723,0.0,9
S268,OSQP,optimal,6.0032e-05,50,0.42859060894261347,5.7310705e-07,5,10,55,0,2.9791e-05,3.0241e-05,0.0,1
HS52,OSQP,optimal,4.0301e-05,25,5.326625985229815,5.3266476,5,8,21,0,1.996e-05,2.0341e-05,0.0,0
