name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,setup_time,solve_time,update_time
HS76,PIQP_high,optimal,4.1811e-05,6,-4.681818180524493,-4.6818182,4,7,22,2.0131e-05,2.1680000000000002e-05,0.0
LISWET3,PIQP_high,optimal,0.040499852,26,25.001220000529088,25.00122,10002,20002,50004,0.005508725000000001,0.034991127000000004,0.0
QSCTAP3,PIQP_high,optimal,0.021782348,16,1438.7546809386622,1438.7547,2480,3960,13262,0.002901021,0.018881327,0.0
LASER,PIQP_high,optimal,0.004603540000000001,13,2409601.356787579,2409601.4,1002,2002,9462,0.001401914,0.0032016260000000004,0.0
QGROW15,PIQP_high,optimal,0.012931734,26,-101693640.46826626,-101693640.0,645,945,7227,0.001281592,0.011650142,0.0
QSCFXM1,PIQP_high,optimal,0.007688774000000001,24,16882691.639317494,16882692.0,457,787,4456,0.0010223180000000001,0.006666456,0.0
STADAT1,PIQP_high,optimal,0.022095493,39,-28526864.045774374,-28526864.0,2001,6000,13998,0.0028206890000000004,0.019274804,0.0
QSCTAP1,PIQP_high,optimal,0.0029053100000000004,17,1415.861111584257,1415.8611,480,780,2442,0.000712012,0.002193298,0.0
QADLITTL,PIQP_high,optimal,0.0004815980000000001,12,480318.8585803962,480318.86,97,153,637,0.000191513,0.00029008500000000004,0.0
QSCRS8,PIQP_high,optimal,0.007700694000000001,25,904.5600139667114,904.56001,1169,1659,4560,0.001301332,0.0063993620000000005,0.0
HS268,PIQP_high,optimal,4.74e-05,7,5.914736902923323e-06,5.7310705e-07,5,10,55,2.12e-05,2.6200000000000003e-05,0.0
LOTSCHD,PIQP_high,optimal,7.366100000000001e-05,9,2398.4158917583245,2398.4159,12,19,72,3.1361e-05,4.2300000000000005e-05,0.0
GENHS28,PIQP_high,optimal,4.0361e-05,1,0.9271736875285472,0.92717369,10,18,62,2.7691000000000003e-05,1.267e-05,0.0
VALUES,PIQP_high,optimal,0.002059326,14,-1.3966211446984904,-1.3966211,202,203,7846,0.00041130800000000004,0.001648018,0.0
UBH1,PIQP_high,optimal,0.036881899,11,1.1160008157173333,1.1160008,18009,30009,72012,0.008533978000000001,0.028347921,0.0
QSCORPIO,PIQP_high,optimal,0.0019499740000000002,16,1880.5095530028968,1880.5096,358,746,1842,0.00059232,0.001357654,0.0
QSCSD6,PIQP_high,optimal,0.006057465,15,50.808213900434275,50.808214,1350,1497,8378,0.0014792960000000002,0.004578169,0.0
LISWET5,PIQP_high,optimal,0.043600657,28,25.03425340169997,25.034253,10002,20002,50004,0.005779551,0.037821106,0.0
QSTAIR,PIQP_high,optimal,0.011854816,20,7985452.756359997,7985452.8,467,823,6293,0.001268393,0.010586423000000001,0.0
QSHIP04S,PIQP_high,optimal,0.005561866,16,2424993.673155136,2424993.7,1458,1860,5908,0.001708999,0.0038528670000000003,0.0
LISWET2,PIQP_high,optimal,0.078217255,55,24.998072513410534,24.998076,10002,20002,50004,0.005844431000000001,0.072372824,0.0
HS118,PIQP_high,optimal,0.000122922,12,664.8204500201034,664.82045,15,32,69,4.3321e-05,7.9601e-05,0.0
MOSARQP2,PIQP_high,optimal,0.009093328000000001,11,-1597.4821175225973,-1597.4821,900,1500,4820,0.00117631,0.007917018000000001,0.0
GOULDQP3,PIQP_high,optimal,0.0019623440000000004,9,2.062783971468889,2.062784,699,1048,3838,0.000663481,0.0012988630000000001,0.0
DUALC5,PIQP_high,optimal,0.0007291130000000001,10,427.2323268120868,427.23233,8,286,2296,0.000168953,0.0005601600000000001,0.0
ZECEVIC2,PIQP_high,optimal,3.6290000000000007e-05,9,-4.124999999984349,-4.125,2,4,7,1.465e-05,2.1640000000000003e-05,0.0
QSHIP08L,PIQP_high,optimal,0.246981222,18,2376040.616582093,2376040.6,4283,5061,86075,0.009009736,0.237971486,0.0
QFORPLAN,PIQP_high,optimal,0.007828675,23,7456631475.120123,7456631500.0,421,582,6112,0.0015571570000000002,0.006271518,0.0
CONT-101,PIQP_high,optimal,0.723936941,12,0.19552732494758884,0.19552733,10197,20295,62496,0.015048361000000001,0.70888858,0.0
AUG2DC,PIQP_high,optimal,0.06062630100000001,4,1818368.0655690597,1818368.1,20200,30200,80400,0.009805350000000001,0.050820951,0.0
LISWET6,PIQP_high,optimal,0.044273308000000004,29,24.99574755692629,24.995748,10002,20002,50004,0.005558157,0.038715151,0.0
QPILOTNO,PIQP_high,optimal,0.258273198,55,4728586.899034501,4728586.9,2172,3147,16105,0.00514852,0.253124678,0.0
STADAT2,PIQP_high,optimal,0.011832715,14,-32.62666486765652,-32.626665,2001,6000,13998,0.002735378,0.009097337,0.0
